norm,player,pick,year
damir markota,Damir Markota,59,2006
will blalock,Will Blalock,60,2006
greg oden,Greg Oden,1,2007
kevin durant,Kevin Durant,2,2007
al horford,Al Horford,3,2007
mike conley,Mike Conley,4,2007
jeff green,Jeff Green,5,2007
yi jianlian,Yi Jianlian,6,2007
corey brewer,Corey Brewer,7,2007
brandan wright,Brandan Wright,8,2007
joakim noah,Joakim Noah,9,2007
spencer hawes,Spencer Hawes,10,2007
acie law,Acie Law,11,2007
thaddeus young,Thaddeus Young,12,2007
julian wright,Julian Wright,13,2007
al thornton,Al Thornton,14,2007
rodney stuckey,Rodney Stuckey,15,2007
nick young,Nick Young,16,2007
sean williams,Sean Williams,17,2007
marco belinelli,Marco Belinelli,18,2007
javaris crittenton,Javaris Crittenton,19,2007
jason smith,Jason Smith,20,2007
daequan cook,Daequan Cook,21,2007
jared dudley,Jared Dudley,22,2007
wilson chandler,Wilson Chandler,23,2007
rudy fernandez,Rudy Fernández,24,2007
morris almond,Morris Almond,25,2007
aaron brooks,Aaron Brooks,26,2007
arron afflalo,Arron Afflalo,27,2007
tiago splitter,Tiago Splitter,28,2007
alando tucker,Alando Tucker,29,2007
petteri koponen,Petteri Koponen,30,2007
carl landry,Carl Landry,31,2007
gabe pruitt,Gabe Pruitt,32,2007
nick fazekas,Nick Fazekas,34,2007
glen davis,Glen Davis,35,2007
jermareo davidson,Jermareo Davidson,36,2007
josh mcroberts,Josh McRoberts,37,2007
kyrylo fesenko,Kyrylo Fesenko,38,2007
stanko barac,Stanko Barać,39,2007
sun yue,Sun Yue,40,2007
chris richard,Chris Richard,41,2007
derrick byars,Derrick Byars,42,2007
adam haluska,Adam Haluska,43,2007
reyshawn terry,Reyshawn Terry,44,2007
jared jordan,Jared Jordan,45,2007
stephane lasme,Stéphane Lasme,46,2007
dominic mcguire,Dominic McGuire,47,2007
marc gasol,Marc Gasol,48,2007
aaron gray,Aaron Gray,49,2007
renaldas seibutis,Renaldas Seibutis,50,2007
jameson curry,JamesOn Curry,51,2007
taurean green,Taurean Green,52,2007
demetris nichols,Demetris Nichols,53,2007
brad newley,Brad Newley,54,2007
herbert hill,Herbert Hill,55,2007
ramon sessions,Ramon Sessions,56,2007
sammy mejia,Sammy Mejia,57,2007
georgios printezis,Georgios Printezis,58,2007
dj strawberry,D.J. Strawberry,59,2007
milovan rakovic,Milovan Raković,60,2007
derrick rose,Derrick Rose,1,2008
michael beasley,Michael Beasley,2,2008
oj mayo,O.J. Mayo,3,2008
russell westbrook,Russell Westbrook,4,2008
kevin love,Kevin Love,5,2008
danilo gallinari,Danilo Gallinari,6,2008
eric gordon,Eric Gordon,7,2008
joe alexander,Joe Alexander,8,2008
dj augustin,D.J. Augustin,9,2008
brook lopez,Brook Lopez,10,2008
jerryd bayless,Jerryd Bayless,11,2008
jason thompson,Jason Thompson,12,2008
brandon rush,Brandon Rush,13,2008
anthony randolph,Anthony Randolph,14,2008
robin lopez,Robin Lopez,15,2008
marreese speights,Marreese Speights,16,2008
roy hibbert,Roy Hibbert,17,2008
javale mcgee,JaVale McGee,18,2008
jj hickson,J.J. Hickson,19,2008
alexis ajinca,Alexis Ajinça,20,2008
ryan anderson,Ryan Anderson,21,2008
courtney lee,Courtney Lee,22,2008
kosta koufos,Kosta Koufos,23,2008
serge ibaka,Serge Ibaka,24,2008
nicolas batum,Nicolas Batum,25,2008
george hill,George Hill,26,2008
darrell arthur,Darrell Arthur,27,2008
donte greene,Donté Greene,28,2008
dj white,D.J. White,29,2008
jr giddens,J.R. Giddens,30,2008
nikola pekovic,Nikola Peković,31,2008
walter sharpe,Walter Sharpe,32,2008
joey dorsey,Joey Dorsey,33,2008
mario chalmers,Mario Chalmers,34,2008
deandre jordan,DeAndre Jordan,35,2008
omer ask,Ömer Aşık,36,2008
luc mbah a moute,Luc Mbah a Moute,37,2008
kyle weaver,Kyle Weaver,38,2008
sonny weems,Sonny Weems,39,2008
chris douglasroberts,Chris Douglas-Roberts,40,2008
nathan jawai,Nathan Jawai,41,2008
sean singletary,Sean Singletary,42,2008
patrick ewing,Patrick Ewing,43,2008
ante tomic,Ante Tomić,44,2008
goran dragic,Goran Dragić,45,2008
trent plaisted,Trent Plaisted,46,2008
henry walker,Henry Walker,47,2008
malik hairston,Malik Hairston,48,2008
richard hendrix,Richard Hendrix,49,2008
devon hardin,DeVon Hardin,50,2008
shan foster,Shan Foster,51,2008
darnell jackson,Darnell Jackson,52,2008
tadija dragicevic,Tadija Dragićević,53,2008
maarty leunen,Maarty Leunen,54,2008
mike taylor,Mike Taylor,55,2008
sasha kaun,Sasha Kaun,56,2008
james gist,James Gist,57,2008
joe crawford,Joe Crawford,58,2008
deron washington,Deron Washington,59,2008
semih erden,Semih Erden,60,2008
blake griffin,Blake Griffin,1,2009
hasheem thabeet,Hasheem Thabeet,2,2009
james harden,James Harden,3,2009
tyreke evans,Tyreke Evans,4,2009
ricky rubio,Ricky Rubio,5,2009
jonny flynn,Jonny Flynn,6,2009
stephen curry,Stephen Curry,7,2009
jordan hill,Jordan Hill,8,2009
demar derozan,DeMar DeRozan,9,2009
brandon jennings,Brandon Jennings,10,2009
terrence williams,Terrence Williams,11,2009
gerald henderson,Gerald Henderson,12,2009
tyler hansbrough,Tyler Hansbrough,13,2009
earl clark,Earl Clark,14,2009
austin daye,Austin Daye,15,2009
james johnson,James Johnson,16,2009
jrue holiday,Jrue Holiday,17,2009
ty lawson,Ty Lawson,18,2009
jeff teague,Jeff Teague,19,2009
eric maynor,Eric Maynor,20,2009
darren collison,Darren Collison,21,2009
victor claver,Victor Claver,22,2009
omri casspi,Omri Casspi,23,2009
byron mullens,Byron Mullens,24,2009
rodrigue beaubois,Rodrigue Beaubois,25,2009
taj gibson,Taj Gibson,26,2009
demarre carroll,DeMarre Carroll,27,2009
wayne ellington,Wayne Ellington,28,2009
toney douglas,Toney Douglas,29,2009
christian eyenga,Christian Eyenga,30,2009
jeff ayres,Jeff Ayres,31,2009
jermaine taylor,Jermaine Taylor,32,2009
dante cunningham,Dante Cunningham,33,2009
sergio llull,Sergio Llull,34,2009
dajuan summers,DaJuan Summers,35,2009
sam young,Sam Young,36,2009
dejuan blair,DeJuan Blair,37,2009
jon brockman,Jon Brockman,38,2009
jonas jerebko,Jonas Jerebko,39,2009
derrick brown,Derrick Brown,40,2009
jodie meeks,Jodie Meeks,41,2009
patrick beverley,Patrick Beverley,42,2009
marcus thornton,Marcus Thornton,43,2009
chase budinger,Chase Budinger,44,2009
nick calathes,Nick Calathes,45,2009
danny green,Danny Green,46,2009
henk norel,Henk Norel,47,2009
taylor griffin,Taylor Griffin,48,2009
sergiy gladyr,Sergiy Gladyr,49,2009
goran suton,Goran Suton,50,2009
jack mcclinton,Jack McClinton,51,2009
aj price,A.J. Price,52,2009
nando de colo,Nando De Colo,53,2009
robert vaden,Robert Vaden,54,2009
patty mills,Patty Mills,55,2009
ahmad nivins,Ahmad Nivins,56,2009
emir preldzic,Emir Preldžić,57,2009
lester hudson,Lester Hudson,58,2009
chinemelu elonu,Chinemelu Elonu,59,2009
robert dozier,Robert Dozier,60,2009
john wall,John Wall,1,2010
evan turner,Evan Turner,2,2010
derrick favors,Derrick Favors,3,2010
wesley johnson,Wesley Johnson,4,2010
demarcus cousins,DeMarcus Cousins,5,2010
ekpe udoh,Ekpe Udoh,6,2010
greg monroe,Greg Monroe,7,2010
alfarouq aminu,Al-Farouq Aminu,8,2010
gordon hayward,Gordon Hayward,9,2010
paul george,Paul George,10,2010
cole aldrich,Cole Aldrich,11,2010
xavier henry,Xavier Henry,12,2010
ed davis,Ed Davis,13,2010
patrick patterson,Patrick Patterson,14,2010
larry sanders,Larry Sanders,15,2010
luke babbitt,Luke Babbitt,16,2010
kevin seraphin,Kevin Séraphin,17,2010
eric bledsoe,Eric Bledsoe,18,2010
avery bradley,Avery Bradley,19,2010
james anderson,James Anderson,20,2010
craig brackins,Craig Brackins,21,2010
elliot williams,Elliot Williams,22,2010
trevor booker,Trevor Booker,23,2010
damion james,Damion James,24,2010
dominique jones,Dominique Jones,25,2010
quincy pondexter,Quincy Pondexter,26,2010
jordan crawford,Jordan Crawford,27,2010
greivis vasquez,Greivis Vásquez,28,2010
daniel orton,Daniel Orton,29,2010
lazar hayward,Lazar Hayward,30,2010
tibor plei,Tibor Pleiß,31,2010
dexter pittman,Dexter Pittman,32,2010
hassan whiteside,Hassan Whiteside,33,2010
armon johnson,Armon Johnson,34,2010
nemanja bjelica,Nemanja Bjelica,35,2010
terrico white,Terrico White,36,2010
darington hobson,Darington Hobson,37,2010
andy rautins,Andy Rautins,38,2010
landry fields,Landry Fields,39,2010
lance stephenson,Lance Stephenson,40,2010
jarvis varnado,Jarvis Varnado,41,2010
dasean butler,Da'Sean Butler,42,2010
devin ebanks,Devin Ebanks,43,2010
jerome jordan,Jerome Jordan,44,2010
paulao prestes,Paulão Prestes,45,2010
gani lawal,Gani Lawal,46,2010
tiny gallon,Tiny Gallon,47,2010
latavious williams,Latavious Williams,48,2010
ryan richards,Ryan Richards,49,2010
solomon alabi,Solomon Alabi,50,2010
magnum rolle,Magnum Rolle,51,2010
luke harangody,Luke Harangody,52,2010
pape sy,Pape Sy,53,2010
willie warren,Willie Warren,54,2010
jeremy evans,Jeremy Evans,55,2010
hamady ndiaye,Hamady N'Diaye,56,2010
ryan reid,Ryan Reid,57,2010
derrick caracter,Derrick Caracter,58,2010
stanley robinson,Stanley Robinson,59,2010
dwayne collins,Dwayne Collins,60,2010
kyrie irving,Kyrie Irving,1,2011
derrick williams,Derrick Williams,2,2011
enes freedom,Enes Freedom,3,2011
tristan thompson,Tristan Thompson,4,2011
jonas valanciunas,Jonas Valančiūnas,5,2011
jan vesely,Jan Veselý,6,2011
bismack biyombo,Bismack Biyombo,7,2011
brandon knight,Brandon Knight,8,2011
kemba walker,Kemba Walker,9,2011
jimmer fredette,Jimmer Fredette,10,2011
klay thompson,Klay Thompson,11,2011
alec burks,Alec Burks,12,2011
markieff morris,Markieff Morris,13,2011
marcus morris,Marcus Morris,14,2011
kawhi leonard,Kawhi Leonard,15,2011
nikola vucevic,Nikola Vučević,16,2011
iman shumpert,Iman Shumpert,17,2011
chris singleton,Chris Singleton,18,2011
tobias harris,Tobias Harris,19,2011
donatas motiejunas,Donatas Motiejūnas,20,2011
nolan smith,Nolan Smith,21,2011
kenneth faried,Kenneth Faried,22,2011
nikola mirotic,Nikola Mirotić,23,2011
reggie jackson,Reggie Jackson,24,2011
marshon brooks,MarShon Brooks,25,2011
jordan hamilton,Jordan Hamilton,26,2011
jajuan johnson,JaJuan Johnson,27,2011
norris cole,Norris Cole,28,2011
cory joseph,Cory Joseph,29,2011
jimmy butler,Jimmy Butler,30,2011
bojan bogdanovic,Bojan Bogdanović,31,2011
justin harper,Justin Harper,32,2011
kyle singler,Kyle Singler,33,2011
shelvin mack,Shelvin Mack,34,2011
tyler honeycutt,Tyler Honeycutt,35,2011
jordan williams,Jordan Williams,36,2011
trey thompkins,Trey Thompkins,37,2011
chandler parsons,Chandler Parsons,38,2011
jeremy tyler,Jeremy Tyler,39,2011
jon leuer,Jon Leuer,40,2011
darius morris,Darius Morris,41,2011
davis bertans,Dāvis Bertāns,42,2011
malcolm lee,Malcolm Lee,43,2011
charles jenkins,Charles Jenkins,44,2011
josh harrellson,Josh Harrellson,45,2011
andrew goudelock,Andrew Goudelock,46,2011
