Player,Team,Age,Pos,OFF_EPM,DEF_EPM,EPM
Bogdan Bogdanovic,LAC,33,G,-0.680382,-0.0367455,-0.7171
Alex Sarr,WAS,21,C,-0.0956364,-0.623091,-0.7187
Kyshawn George,WAS,22,F,-0.723115,0.00134567,-0.7218
Sion James,CHA,23,G,-1.61057,0.886262,-0.7243
Kentavious Caldwell-Pope,MEM,33,G,-1.29183,0.559812,-0.732
Zach LaVine,SAC,31,G,0.62211,-1.3856,-0.7635
Josh Okogie,HOU,27,G,-1.80154,1.03765,-0.7639
Quenton Jackson,IND,27,G,-0.435356,-0.350924,-0.7863
Kevin Love,UTA,37,F-C,0.0406757,-0.831773,-0.7911
Jonathan Isaac,ORL,28,F,-2.66213,1.86156,-0.8006
Andrew Wiggins,MIA,31,F,-0.657548,-0.150583,-0.8081
Myles Turner,MIL,30,C-F,-0.858152,0.047281,-0.8109
Klay Thompson,DAL,36,G,-0.378756,-0.440488,-0.8192
Malik Monk,SAC,28,G,0.585591,-1.42116,-0.8356
Jaxson Hayes,LAL,26,C-F,-1.02812,0.186296,-0.8418
Brandon Williams,DAL,26,G,-0.011755,-0.844581,-0.8563
Rui Hachimura,LAL,28,F,-0.592114,-0.275864,-0.868
Keldon Johnson,SAS,26,F-G,-0.375099,-0.512596,-0.8877
Shaedon Sharpe,POR,23,G,-0.268584,-0.620453,-0.889
Keyonte George,UTA,22,G,1.8052,-2.69782,-0.8926
Brandon Ingram,TOR,28,F,-0.229068,-0.676453,-0.9055
Jock Landale,ATL,30,C,0.553379,-1.47949,-0.9261
Kasparas Jakucionis,MIA,20,G,-0.41615,-0.511598,-0.9277
Clint Capela,HOU,32,C,-1.32705,0.398258,-0.9288
John Collins,LAC,28,F-C,-0.194202,-0.745864,-0.9401
De'Andre Hunter,SAC,28,F-G,-0.396581,-0.545953,-0.9425
Nae'Qwan Tomlin,CLE,25,F,-1.10426,0.139943,-0.9643
Jaime Jaquez Jr.,MIA,25,G,-0.220298,-0.787523,-1.0078
Precious Achiuwa,SAC,26,F,-0.657799,-0.354239,-1.012
Bennedict Mathurin,LAC,23,G-F,-0.455584,-0.587659,-1.0432
Kobe Sanders,LAC,24,G,-1.33053,0.286913,-1.0436
Collin Sexton,CHI,27,G,0.110637,-1.1544,-1.0438
Jeremiah Fears,NOP,19,G,-0.0932951,-0.952991,-1.0463
Deandre Ayton,LAL,27,C,-0.566249,-0.5103,-1.0765
Bradley Beal,LAC,32,G,-0.36078,-0.721684,-1.0825
Bobby Portis,MIL,31,F,0.182748,-1.2733,-1.0906
Tyrese Proctor,CLE,22,G,-0.606512,-0.528284,-1.1348
Buddy Boeheim,OKC,26,F,-0.775969,-0.382321,-1.1583
Kevon Looney,NOP,30,F,-1.49256,0.316421,-1.1761
Kelly Oubre Jr.,PHI,30,F-G,-0.772084,-0.414026,-1.1861
Jay Huff,IND,28,C,-0.283815,-0.9112,-1.195
Anthony Black,ORL,22,G,-1.79615,0.597266,-1.1989
Ayo Dosunmu,MIN,26,G,-0.453475,-0.747266,-1.2007
Ziaire Williams,BKN,24,F,-2.16162,0.951291,-1.2103
GG Jackson,MEM,21,F,0.183873,-1.41461,-1.2307
Egor Demin,BKN,20,G,-0.795424,-0.440838,-1.2363
Ryan Nembhard,DAL,23,G,-0.630879,-0.61613,-1.247
Landry Shamet,NYK,29,G,-1.74464,0.492159,-1.2525
Luguentz Dort,OKC,27,G,-1.19242,-0.0658609,-1.2583
Aaron Holiday,HOU,29,G,-1.3588,0.0995139,-1.2593
Harrison Barnes,SAS,34,F,0.145945,-1.4307,-1.2848
Ethan Thompson,IND,27,G,-1.51212,0.219038,-1.2931
Hugo Gonzalez,BOS,20,G,-2.4391,1.11437,-1.3247
Georges Niang,MEM,32,F,0.279147,-1.60754,-1.3284
Jaylen Clark,MIN,24,G,-1.82407,0.464991,-1.3591
Cam Thomas,MIL,24,G,1.11169,-2.47944,-1.3678
Thomas Bryant,CLE,28,C-F,-0.326525,-1.04909,-1.3756
Tim Hardaway Jr.,DEN,34,G-F,-0.246926,-1.15148,-1.3984
Isaiah Jackson,LAC,24,F,-1.08178,-0.321191,-1.403
Jared McCain,OKC,22,G,-0.0732204,-1.348,-1.4212
Josh Green,CHA,25,G,-1.96825,0.543967,-1.4243
Jerami Grant,POR,32,F,-0.360882,-1.08118,-1.4421
Nikola Jovic,MIA,23,F,-1.7627,0.315663,-1.447
Ryan Kalkbrenner,CHA,24,C,-1.70087,0.245345,-1.4555
Kenrich Williams,OKC,31,G-F,-1.15443,-0.332142,-1.4866
LJ Cryer,GSW,24,G,-0.537531,-0.952788,-1.4903
Jordan Miller,LAC,26,G,-0.507928,-0.985982,-1.4939
Micah Potter,IND,28,C,-0.146904,-1.34939,-1.4963
Andre Drummond,PHI,32,C,-1.74447,0.23611,-1.5084
Tolu Smith,DET,25,F,-0.976296,-0.533586,-1.5099
Brice Sensabaugh,UTA,22,F,0.636051,-2.15489,-1.5188
Guerschon Yabusele,CHI,30,F,-0.498159,-1.02389,-1.5221
DaRon Holmes II,DEN,23,F,-1.00758,-0.526902,-1.5345
Koby Brea,PHX,23,G,0.103598,-1.64312,-1.5395
Jake LaRavia,LAL,24,F,-1.42859,-0.116304,-1.5449
Dwight Powell,DAL,34,F-C,-1.68775,0.141539,-1.5462
Isaac Okoro,CHI,25,F-G,-0.780738,-0.766278,-1.547
Max Strus,CLE,30,G-F,-0.536358,-1.01959,-1.556
Dorian Finney-Smith,HOU,33,F,-1.9729,0.409331,-1.5636
Tristan da Silva,ORL,25,F,-1.37125,-0.193002,-1.5642
Jordan Poole,NOP,26,G,-0.0342699,-1.54778,-1.5821
Aaron Wiggins,OKC,27,G,-1.55589,-0.035548,-1.5914
Tristan Vukcevic,WAS,23,F,-0.377045,-1.22339,-1.6004
Buddy Hield,ATL,33,G,-0.56144,-1.04235,-1.6038
Zach Collins,CHI,28,F-C,-1.08994,-0.537822,-1.6278
Russell Westbrook,SAC,37,G,-1.06281,-0.584837,-1.6476
Luke Kennard,LAL,29,G,-0.365404,-1.31587,-1.6813
Bilal Coulibaly,WAS,21,G,-1.30065,-0.386978,-1.6876
Chucky Hepburn,TOR,23,G,-1.32562,-0.365084,-1.6907
Chaney Johnson,BKN,23,G-F,-1.54011,-0.155247,-1.6954
Dominick Barlow,PHI,23,F,-1.86997,0.169668,-1.7003
JD Davison,HOU,23,G,-1.42714,-0.278934,-1.7061
DeJon Jarreau,MEM,28,G,-1.55993,-0.155562,-1.7155
John Konchar,UTA,30,G,-2.21749,0.501985,-1.7155
Trevor Keels,MIA,22,G,-1.2453,-0.494199,-1.7395
Garrison Mathews,IND,29,G,-0.880327,-0.863555,-1.7439
Draymond Green,GSW,36,F,-2.56441,0.816408,-1.748
Tyler Kolek,NYK,25,G,-1.00654,-0.745024,-1.7516
Max Christie,DAL,23,G,-1.37297,-0.38025,-1.7532
Johnny Furphy,IND,21,G,-2.06075,0.305024,-1.7557
Blake Hinson,UTA,26,F,-0.140048,-1.62334,-1.7634
Trayce Jackson-Davis,TOR,26,F,-1.77405,0.00387582,-1.7702
RayJ Dennis,ATL,25,G,-1.2499,-0.538776,-1.7887
Jamal Cain,ORL,27,F,-1.35453,-0.436596,-1.7911
Khris Middleton,DAL,34,F,-0.696075,-1.09945,-1.7955
Kris Murray,POR,25,F,-2.8775,1.07995,-1.7976
Marvin Bagley III,DAL,27,F,-0.507821,-1.30502,-1.8128
Quentin Grimes,PHI,26,G,-1.3042,-0.513959,-1.8182
Rasheer Fleming,PHX,21,F,-1.87381,0.0487884,-1.825
Haywood Highsmith,PHX,29,F,-2.06261,0.225901,-1.8367
Jamaree Bouyea,PHX,26,G,-2.18519,0.348336,-1.8369
Dario Saric,DET,32,F-C,-1.80595,-0.0398637,-1.8458
Mark Sears,MIL,24,G,-0.874131,-0.972988,-1.8471
Oscar Tshiebwe,UTA,26,F-C,-0.138976,-1.71269,-1.8517
Nique Clifford,SAC,24,G,-1.93615,0.0812162,-1.8549
Terrence Shannon Jr.,MIN,25,G-F,-0.751051,-1.10942,-1.8605
Jarred Vanderbilt,LAL,27,F,-1.92791,0.0507864,-1.8771
Jackson Rowe,GSW,29,F,-1.85104,-0.0292524,-1.8803
Tyler Burton,MEM,26,F,-1.77586,-0.108496,-1.8844
Monte Morris,IND,30,G,-0.861311,-1.03154,-1.8929
Scoot Henderson,POR,22,G,-1.56396,-0.351373,-1.9153
Asa Newell,ATL,20,F,-1.31278,-0.608999,-1.9218
Keon Ellis,CLE,26,G,-1.82696,-0.113185,-1.9401
Ryan Dunn,PHX,23,F,-2.63473,0.690655,-1.9441
Gary Trent Jr.,MIL,27,G,-0.739751,-1.232,-1.9718
Seth Curry,GSW,35,G,-0.813668,-1.16111,-1.9748
Bobi Klintman,DET,23,F,-1.82309,-0.153714,-1.9768
PJ Hall,CHA,24,C,-1.50862,-0.46955,-1.9782
Taurean Prince,MIL,32,F,-0.827181,-1.15114,-1.9783
Branden Carlson,OKC,26,C,-0.246103,-1.74261,-1.9887
Kobe Bufkin,LAL,22,G,-1.4138,-0.579346,-1.9931
